name,repository url
Digitale Dörfer Plattform,https://gitlab.opencode.de/fraunhofer-iese/digitale-doerfer/digitale-doerfer-plattform
Radwegweiser (lokal),https://gitlab.opencode.de/metropoleruhr/radwegweiser_lokal
Bürgerdashboard Mühlhausen/Thüringen,https://gitlab.opencode.de/OC000032075636/buergerdashboard-muehlhausen
Thermosensorik Heidenheim,https://gitlab.opencode.de/OC00001179881/thermosensorik-heidenheim
ilias,https://gitlab.opencode.de/OC000019962026/ilias-lernplattform
bfs_saveecobot_loader,https://github.com/OpenBfS/bfs_saveecobot_loader
KoliBri - The accessible HTML-Standard,https://github.com/public-ui/kolibri
journal-web-ui,https://gitlab.opencode.de/umwelt-info/journal-web-ui
Bamboard - interaktiver Stadtteilbildschirm,https://gitlab.opencode.de/smart-city-bamberg/bamboard-interaktiver-stadtteilbildschirm
Innovativer Katastrophenschutz,https://gitlab.opencode.de/smart-city-bamberg/innovativer-katastrophenschutz
MappingTool,https://gitlab.opencode.de/marx/mappingtool
Elektronische Clearingstelle für OSCI-Transport,https://gitlab.opencode.de/riedel/elektronische-clearingstelle
VERB (Vorerfassung der Einreisebefragung),https://gitlab.opencode.de/bpol-verb/verb-app
Terminfinder,https://github.com/Dataport/terminfinder-frontend
BundesMessenger Info,https://gitlab.opencode.de/bwi/bundesmessenger/info
FITKO - Diskussion,https://gitlab.opencode.de/fitko/discussion/-/blob/main/publiccode.yml
Standard-Validierungsregeln,https://gitlab.opencode.de/xleitstelle/xplanung/validierungsregeln/standard
AR-gestützte Schnitzeljagd,https://gitlab.opencode.de/OC000008837300/ar-gestuetzte-schnitzeljagd
ELSTER_NEZO-Plugin für Keycloak/RH-SSO,https://github.com/keycloak/keycloak/commit/21f700679f21b71ef89985b835f2d3cf7ac049a0#diff-d619b0a9c091d59cfb785229e2c2b5a4a3d1420eacb25a0ebce4bfee08598548
BundesMessenger Helm Chart,https://gitlab.opencode.de/bwi/bundesmessenger/info
Terminfinder,https://github.com/Dataport/terminfinder-backend
piveau - Ein Datenmanagement-Ökosystem für den öffentlichen Sektor,https://gitlab.opencode.de/piveau/publiccode-piveau
BundesMessenger Container Registry,https://gitlab.opencode.de/bwi/bundesmessenger/info
OVGRLP-Ressourcenplanung,https://github.com/Oberverwaltungsgericht-Rheinland-Pfalz/OVGRLP-Ressourcenplanung
EGVP-AddressBook,https://github.com/Oberverwaltungsgericht-Rheinland-Pfalz/EGVP-AddressBook
EGVP-Enterprise-Receiver,https://github.com/Oberverwaltungsgericht-Rheinland-Pfalz/EGVP-Enterprise-Receiver
